Pos_Current,WIDTH,distance,ID
"[512.0, -384.0]",40.0,200,3.322
"[351.0, -265.0]",40.0,200,3.322
"[223.0, -112.0]",40.0,200,3.322
"[299.0, -297.0]",40.0,200,3.322
"[182.0, -135.0]",40.0,200,3.322
"[164.0, 65.0]",40.0,200,3.322
"[51.0, -100.0]",40.0,200,3.322
"[16.0, -297.0]",40.0,200,3.322
"[-172.0, -229.0]",40.0,200,3.322
"[-214.0, -34.0]",40.0,200,3.322
"[-208.0, -234.0]",40.0,200,3.322
"[-270.0, -44.0]",40.0,200,3.322
"[-437.0, 67.0]",40.0,200,3.322
"[-300.0, -79.0]",40.0,200,3.322
"[-412.0, -244.0]",40.0,200,3.322
"[-276.0, -98.0]",40.0,200,3.322
"[-469.0, -45.0]",40.0,200,3.322
"[-348.0, 115.0]",40.0,200,3.322
"[-333.0, -84.0]",40.0,200,3.322
"[-381.0, -279.0]",40.0,200,3.322
"[-272.0, -111.0]",40.0,200,3.322
"[-265.0, -311.0]",40.0,200,3.322
"[-378.0, -146.0]",40.0,200,3.322
"[-450.0, -332.0]",40.0,200,3.322
"[-369.0, -149.0]",40.0,200,3.322
"[-240.0, 4.0]",40.0,200,3.322
"[-435.0, -42.0]",40.0,200,3.322
"[-377.0, -234.0]",40.0,200,3.322
"[-223.0, -361.0]",40.0,200,3.322
"[-82.0, -218.0]",40.0,200,3.322
"[-190.0, -50.0]",40.0,200,3.322
"[-12.0, 40.0]",40.0,200,3.322
"[-39.0, -158.0]",40.0,200,3.322
