Pos_Current,WIDTH,distance,ID
"[512.0, -384.0]",40.0,600,4.907
"[448.0, 213.0]",40.0,600,4.907
"[160.0, -314.0]",40.0,600,4.907
"[205.0, 284.0]",40.0,600,4.907
"[70.0, -300.0]",40.0,600,4.907
"[274.0, 264.0]",40.0,600,4.907
"[52.0, -293.0]",40.0,600,4.907
"[-404.0, 97.0]",40.0,600,4.907
"[181.0, -38.0]",40.0,600,4.907
"[-324.0, -361.0]",40.0,600,4.907
"[-416.0, 232.0]",40.0,600,4.907
"[-227.0, -338.0]",40.0,600,4.907
"[294.0, -39.0]",40.0,600,4.907
"[-200.0, 302.0]",40.0,600,4.907
"[-417.0, -258.0]",40.0,600,4.907
"[58.0, 108.0]",40.0,600,4.907
"[438.0, -356.0]",40.0,600,4.907
"[410.0, 243.0]",40.0,600,4.907
"[-154.0, 38.0]",40.0,600,4.907
"[422.0, 206.0]",40.0,600,4.907
"[80.0, -287.0]",40.0,600,4.907
"[-367.0, 114.0]",40.0,600,4.907
"[44.0, -323.0]",40.0,600,4.907
"[279.0, 229.0]",40.0,600,4.907
"[185.0, -364.0]",40.0,600,4.907
"[-287.0, 7.0]",40.0,600,4.907
"[273.0, -209.0]",40.0,600,4.907
"[37.0, 343.0]",40.0,600,4.907
"[175.0, -241.0]",40.0,600,4.907
"[-386.0, -30.0]",40.0,600,4.907
"[210.0, -98.0]",40.0,600,4.907
"[-388.0, -44.0]",40.0,600,4.907
"[118.0, 279.0]",40.0,600,4.907
