Pos_Current,WIDTH,distance,ID
"[512.0, -384.0]",120.0,200,1.737
"[344.0, -276.0]",120.0,200,1.737
"[332.0, -76.0]",120.0,200,1.737
"[181.0, -208.0]",120.0,200,1.737
"[2.0, -118.0]",120.0,200,1.737
"[184.0, -202.0]",120.0,200,1.737
"[35.0, -68.0]",120.0,200,1.737
"[202.0, -178.0]",120.0,200,1.737
"[144.0, 13.0]",120.0,200,1.737
"[290.0, 150.0]",120.0,200,1.737
"[113.0, 243.0]",120.0,200,1.737
"[-74.0, 314.0]",120.0,200,1.737
"[-47.0, 116.0]",120.0,200,1.737
"[-1.0, 311.0]",120.0,200,1.737
"[79.0, 127.0]",120.0,200,1.737
"[183.0, -44.0]",120.0,200,1.737
"[181.0, -244.0]",120.0,200,1.737
"[5.0, -148.0]",120.0,200,1.737
"[127.0, -307.0]",120.0,200,1.737
"[56.0, -120.0]",120.0,200,1.737
"[211.0, -246.0]",120.0,200,1.737
"[397.0, -320.0]",120.0,200,1.737
"[366.0, -122.0]",120.0,200,1.737
"[245.0, -282.0]",120.0,200,1.737
"[378.0, -133.0]",120.0,200,1.737
"[336.0, 63.0]",120.0,200,1.737
"[197.0, -80.0]",120.0,200,1.737
"[334.0, 66.0]",120.0,200,1.737
"[404.0, 253.0]",120.0,200,1.737
"[256.0, 118.0]",120.0,200,1.737
"[326.0, 306.0]",120.0,200,1.737
"[250.0, 121.0]",120.0,200,1.737
"[192.0, 312.0]",120.0,200,1.737
